OEKS15 ensemble member;Mean year per GWL;;;;Period per GWL
;1.5°C;2.0°C;3.0°C;4.0°C;1.5°C;2.0°C;3.0°C;4.0°C
SDM_ICHEC-EC-EARTH_rcp26_r12i1p1_CLMcom-CCLM4-8-17_all;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
SDM_ICHEC-EC-EARTH_rcp26_r12i1p1_KNMI-RACMO22E_all;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
SDM_ICHEC-EC-EARTH_rcp26_r12i1p1_SMHI-RCA4_all;2043;n/a;n/a;n/a;2033-2052;n/a;n/a;n/a
SDM_ICHEC-EC-EARTH_rcp26_r3i1p1_DMI-HIRHAM5_all;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
SDM_MOHC-HadGEM2-ES_rcp26_r1i1p1_SMHI-RCA4_all;2023;n/a;n/a;n/a;2013-2032;n/a;n/a;n/a
SDM_MPI-M-MPI-ESM-LR_rcp26_r1i1p1_MPI-CSC-REMO2009_all;2072;n/a;n/a;n/a;2062-2081;n/a;n/a;n/a
SDM_MPI-M-MPI-ESM-LR_rcp26_r1i1p1_SMHI-RCA4_all;2030;n/a;n/a;n/a;2020-2039;n/a;n/a;n/a
SDM_MPI-M-MPI-ESM-LR_rcp26_r2i1p1_MPI-CSC-REMO2009_all;n/a;n/a;n/a;n/a;n/a;n/a;n/a;n/a
SDM_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_CLMcom-CCLM4-8-17;2057;n/a;n/a;n/a;2047-2066;n/a;n/a;n/a
SDM_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_CNRM-ALADIN53;2054;2088;n/a;n/a;2044-2063;2078-2097;n/a;n/a
SDM_CNRM-CERFACS-CNRM-CM5_rcp45_r1i1p1_SMHI-RCA4;2049;2088;n/a;n/a;2039-2058;2078-2097;n/a;n/a
SDM_ICHEC-EC-EARTH_rcp45_r12i1p1_CLMcom-CCLM4-8-17;2052;n/a;n/a;n/a;2042-2061;n/a;n/a;n/a
SDM_ICHEC-EC-EARTH_rcp45_r12i1p1_SMHI-RCA4;2041;2060;n/a;n/a;2031-2050;2050-2069;n/a;n/a
SDM_ICHEC-EC-EARTH_rcp45_r1i1p1_KNMI-RACMO22E;2040;2072;n/a;n/a;2030-2049;2062-2081;n/a;n/a
SDM_ICHEC-EC-EARTH_rcp45_r3i1p1_DMI-HIRHAM5;2040;n/a;n/a;n/a;2030-2049;n/a;n/a;n/a
SDM_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_IPSL-INERIS-WRF331F;2045;2075;n/a;n/a;2035-2054;2065-2084;n/a;n/a
SDM_IPSL-IPSL-CM5A-MR_rcp45_r1i1p1_SMHI-RCA4;2041;2069;n/a;n/a;2031-2050;2059-2078;n/a;n/a
SDM_MOHC-HadGEM2-ES_rcp45_r1i1p1_CLMcom-CCLM4-8-17;2030;2046;n/a;n/a;2020-2039;2036-2055;n/a;n/a
SDM_MOHC-HadGEM2-ES_rcp45_r1i1p1_SMHI-RCA4;2033;2053;n/a;n/a;2023-2042;2043-2062;n/a;n/a
SDM_MPI-M-MPI-ESM-LR_rcp45_r1i1p1_CLMcom-CCLM4-8-17;2067;n/a;n/a;n/a;2057-2076;n/a;n/a;n/a
SDM_MPI-M-MPI-ESM-LR_rcp45_r1i1p1_SMHI-RCA4;2038;2084;n/a;n/a;2028-2047;2074-2093;n/a;n/a
SDM_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CLMcom-CCLM4-8-17;2045;2062;2083;n/a;2035-2054;2052-2071;2073-2092;n/a
SDM_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_CNRM-ALADIN53;2042;2054;2069;2090;2032-2051;2044-2063;2059-2078;2080-2099
SDM_CNRM-CERFACS-CNRM-CM5_rcp85_r1i1p1_SMHI-RCA4;2038;2053;2066;2084;2028-2047;2043-2062;2056-2075;2074-2093
SDM_ICHEC-EC-EARTH_rcp85_r12i1p1_CLMcom-CCLM4-8-17;2042;2060;2081;n/a;2032-2051;2050-2069;2071-2090;n/a
SDM_ICHEC-EC-EARTH_rcp85_r12i1p1_SMHI-RCA4;2032;2042;2067;2082;2022-2041;2032-2051;2057-2076;2072-2091
SDM_ICHEC-EC-EARTH_rcp85_r1i1p1_KNMI-RACMO22E;2035;2064;2076;n/a;2025-2044;2054-2073;2066-2085;n/a
SDM_ICHEC-EC-EARTH_rcp85_r3i1p1_DMI-HIRHAM5;2033;2060;2081;n/a;2023-2042;2050-2069;2071-2090;n/a
SDM_IPSL-IPSL-CM5A-MR_rcp85_r1i1p1_IPSL-INERIS-WRF331F;2053;2063;2079;n/a;2043-2062;2053-2072;2069-2088;n/a
SDM_IPSL-IPSL-CM5A-MR_rcp85_r1i1p1_SMHI-RCA4;2037;2048;2059;2074;2027-2046;2038-2057;2049-2068;2064-2083
SDM_MOHC-HadGEM2-ES_rcp85_r1i1p1_CLMcom-CCLM4-8-17;2025;2044;2059;2074;2015-2034;2034-2053;2049-2068;2064-2083
SDM_MOHC-HadGEM2-ES_rcp85_r1i1p1_SMHI-RCA4;2025;2044;2061;2074;2015-2034;2034-2053;2051-2070;2064-2083
SDM_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_CLMcom-CCLM4-8-17;2048;2061;2080;n/a;2038-2057;2051-2070;2070-2089;n/a
SDM_MPI-M-MPI-ESM-LR_rcp85_r1i1p1_SMHI-RCA4;2044;2058;2074;2085;2034-2053;2048-2067;2064-2083;2075-2094
